RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,42.0,42,0,0.0,0,42,42.0,42,42,42.0,42,1,0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,56.0,56,0,0.0,0,56,56.0,56,56,56.0,56,1,0,1,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,163,81.5,163,1,0.5,1,164,82.0,164,162,81.0,162,2,0,2,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,12222,6111.0,12222,5855,2927.5,5855,18077,9038.5,18077,6367,3183.5,6367,2,0,2,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,155,77.5,155,2,1.0,2,157,78.5,157,153,76.5,153,2,0,2,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,43.0,43,0,0.0,0,43,43.0,43,43,43.0,43,1,0,1,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,42,21.0,42,1,0.5,1,43,21.5,43,41,20.5,41,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,155,51.666668,155,50,16.666666,50,205,68.333336,205,105,35.0,105,3,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,148,29.6,148,43,8.6,43,191,38.2,191,105,21.0,105,5,0,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,126,31.5,126,34,8.5,34,160,40.0,160,92,23.0,92,4,0,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,151,50.333332,151,50,16.666666,50,201,67.0,201,101,33.666668,101,3,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,45.0,45,0,0.0,0,45,45.0,45,45,45.0,45,1,0,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,290,145.0,290,1,0.5,1,291,145.5,291,289,144.5,289,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,35,17.5,35,3,1.5,3,38,19.0,38,32,16.0,32,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,111.0,111,0,0.0,0,111,111.0,111,111,111.0,111,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,36,18.0,36,1,0.5,1,37,18.5,37,35,17.5,35,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,81.0,81,0,0.0,0,81,81.0,81,81,81.0,81,1,0,1,YES
