DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
ZOOKEEPER,5,81.44927536231884,RandomForest,BestFirst(Bi-directional),None,None,0.30434782608695654,0.2,0.7506824385805277,0.11316397228637419,7.0,16.0,141.0,28.0
ZOOKEEPER,5,81.44927536231884,IBk,BestFirst(Bi-directional),None,None,0.4,0.34285714285714286,0.7663330300272976,0.24161849710982683,12.0,18.0,139.0,23.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,None,OverSampling,None,0.6666666666666666,0.05714285714285714,0.7289353958143767,0.07874682472480947,2.0,1.0,156.0,33.0
ZOOKEEPER,5,81.44927536231884,RandomForest,None,OverSampling,None,0.3333333333333333,0.34285714285714286,0.7614194722474977,0.18790496760259182,12.0,24.0,133.0,23.0
ZOOKEEPER,5,81.44927536231884,IBk,None,OverSampling,None,0.29411764705882354,0.2857142857142857,0.7069153776160145,0.1343393448656606,10.0,24.0,133.0,25.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,None,UnderSampling,None,0.75,0.08571428571428572,0.7536851683348499,0.12097669256381775,3.0,1.0,156.0,32.0
ZOOKEEPER,5,81.44927536231884,RandomForest,None,UnderSampling,None,0.29577464788732394,0.6,0.7158325750682438,0.20114419451306723,21.0,50.0,107.0,14.0
ZOOKEEPER,5,81.44927536231884,IBk,None,UnderSampling,None,0.24242424242424243,0.45714285714285713,0.6205641492265697,0.10316815597075557,16.0,50.0,107.0,19.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,None,SMOTE,None,0.6,0.08571428571428572,0.6240218380345769,0.10941336971350585,3.0,2.0,155.0,32.0
ZOOKEEPER,5,81.44927536231884,RandomForest,None,SMOTE,None,0.2857142857142857,0.34285714285714286,0.7353048225659691,0.1408308004052686,12.0,30.0,127.0,23.0
ZOOKEEPER,5,81.44927536231884,IBk,None,SMOTE,None,0.2926829268292683,0.34285714285714286,0.7224749772520473,0.1482682136154238,12.0,29.0,128.0,23.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,None,None,SensitiveLearning,0.4,0.22857142857142856,0.7505004549590537,0.1825327510917031,8.0,12.0,145.0,27.0
ZOOKEEPER,5,81.44927536231884,RandomForest,None,None,SensitiveLearning,0.4,0.22857142857142856,0.7505004549590537,0.1825327510917031,8.0,12.0,145.0,27.0
ZOOKEEPER,5,81.44927536231884,IBk,None,None,SensitiveLearning,0.4,0.22857142857142856,0.7505004549590537,0.1825327510917031,8.0,12.0,145.0,27.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.5652173913043478,0.37142857142857144,0.7877161055505004,0.35502834348099943,13.0,10.0,147.0,22.0
ZOOKEEPER,5,81.44927536231884,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.37777777777777777,0.4857142857142857,0.743221110100091,0.2766584766584765,17.0,28.0,129.0,18.0
ZOOKEEPER,5,81.44927536231884,IBk,BestFirst(Bi-directional),OverSampling,None,0.35714285714285715,0.42857142857142855,0.7069153776160145,0.23809523809523822,15.0,27.0,130.0,20.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.6666666666666666,0.22857142857142856,0.7880800727934486,0.2727272727272727,8.0,4.0,153.0,27.0
ZOOKEEPER,5,81.44927536231884,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.35714285714285715,0.7142857142857143,0.7304822565969062,0.3079947575360419,25.0,45.0,112.0,10.0
ZOOKEEPER,5,81.44927536231884,IBk,BestFirst(Bi-directional),UnderSampling,None,0.3611111111111111,0.7428571428571429,0.7293903548680619,0.3188854489164085,26.0,46.0,111.0,9.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.5909090909090909,0.37142857142857144,0.7898999090081893,0.36707783921735404,13.0,9.0,148.0,22.0
ZOOKEEPER,5,81.44927536231884,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.37735849056603776,0.5714285714285714,0.7656960873521383,0.30107689974215085,20.0,33.0,124.0,15.0
ZOOKEEPER,5,81.44927536231884,IBk,BestFirst(Bi-directional),SMOTE,None,0.4074074074074074,0.6285714285714286,0.7707916287534122,0.35076645626690706,22.0,32.0,125.0,13.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.46153846153846156,0.34285714285714286,0.7663330300272976,0.28184391427416094,12.0,14.0,143.0,23.0
ZOOKEEPER,5,81.44927536231884,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.46153846153846156,0.34285714285714286,0.7663330300272976,0.28184391427416094,12.0,14.0,143.0,23.0
ZOOKEEPER,5,81.44927536231884,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.46153846153846156,0.34285714285714286,0.7663330300272976,0.28184391427416094,12.0,14.0,143.0,23.0
ZOOKEEPER,6,83.80566801619433,NaiveBayes,None,None,None,0.8,0.23529411764705882,0.8716335931963146,0.3103448275862067,8.0,2.0,164.0,26.0
ZOOKEEPER,6,83.80566801619433,RandomForest,None,None,None,0.5,0.08823529411764706,0.7975726435152374,0.10432033719704917,3.0,3.0,163.0,31.0
ZOOKEEPER,6,83.80566801619433,IBk,None,None,None,0.7333333333333333,0.3235294117647059,0.8092664776754075,0.3849658314350798,11.0,4.0,162.0,23.0
ZOOKEEPER,6,83.80566801619433,NaiveBayes,BestFirst(Bi-directional),None,None,0.7333333333333333,0.3235294117647059,0.8620659107016301,0.3849658314350798,11.0,4.0,162.0,23.0
ZOOKEEPER,6,83.80566801619433,RandomForest,BestFirst(Bi-directional),None,None,0.5833333333333334,0.20588235294117646,0.79987597448618,0.2366412213740457,7.0,5.0,161.0,27.0
ZOOKEEPER,6,83.80566801619433,IBk,BestFirst(Bi-directional),None,None,0.6666666666666666,0.35294117647058826,0.7920800850460666,0.38971229293809945,12.0,6.0,160.0,22.0
