#TRAINING_RELEASES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,NPOFB_20
8,NaiveBayes,false,UnderSampl,false,0.1282051282051282
9,RandomForest,true,OverSampl,false,0.28888888888888886
4,IBk,false,NotSet,true,0.047619047619047616
8,RandomForest,false,SMOTE,false,0.1794871794871795
17,IBk,true,NotSet,true,0.16279069767441862
14,NaiveBayes,true,NotSet,true,0.2
10,NaiveBayes,true,NotSet,true,0.3111111111111111
2,NaiveBayes,true,OverSampl,false,0.09090909090909091
19,IBk,true,OverSampl,false,0.19298245614035087
10,RandomForest,true,SMOTE,false,0.1590909090909091
10,RandomForest,true,OverSampl,false,0.2222222222222222
7,IBk,false,NotSet,false,0.18518518518518517
17,IBk,true,NotSet,false,0.18604651162790697
18,RandomForest,true,SMOTE,false,0.16363636363636364
16,IBk,false,SMOTE,false,0.2926829268292683
15,IBk,true,UnderSampl,false,0.3023255813953488
2,RandomForest,false,UnderSampl,false,0.1875
2,RandomForest,false,NotSet,false,0.1875
25,RandomForest,true,OverSampl,false,0.2542372881355932
10,IBk,true,NotSet,true,0.2222222222222222
7,NaiveBayes,true,SMOTE,false,0.11538461538461539
2,RandomForest,true,SMOTE,false,0.1875
6,RandomForest,false,SMOTE,false,0.4117647058823529
19,NaiveBayes,false,OverSampl,false,0.2413793103448276
11,NaiveBayes,false,UnderSampl,false,0.34146341463414637
18,RandomForest,true,NotSet,true,0.14545454545454545
17,IBk,false,OverSampl,false,0.13636363636363635
24,RandomForest,true,NotSet,false,0.2459016393442623
14,RandomForest,true,UnderSampl,false,0.17777777777777778
8,RandomForest,false,NotSet,true,0.1794871794871795
7,IBk,true,NotSet,true,0.2962962962962963
17,NaiveBayes,true,SMOTE,false,0.25
19,RandomForest,false,OverSampl,false,0.2631578947368421
10,IBk,false,SMOTE,false,0.15555555555555556
26,NaiveBayes,true,NotSet,false,0.22727272727272727
25,IBk,false,SMOTE,false,0.23728813559322035
19,NaiveBayes,true,OverSampl,false,0.1896551724137931
9,NaiveBayes,true,OverSampl,false,0.17777777777777778
4,NaiveBayes,true,SMOTE,false,0.2857142857142857
23,IBk,false,UnderSampl,false,0.2545454545454545
21,IBk,true,SMOTE,false,0.16
22,NaiveBayes,true,NotSet,false,0.26666666666666666
8,RandomForest,true,NotSet,true,0.1794871794871795
24,NaiveBayes,true,SMOTE,false,0.21666666666666667
3,IBk,false,NotSet,false,0.2
19,IBk,false,SMOTE,false,0.15517241379310345
8,NaiveBayes,false,SMOTE,false,0.1282051282051282
1,NaiveBayes,false,NotSet,false,0.0625
17,RandomForest,false,NotSet,false,0.18604651162790697
12,IBk,false,UnderSampl,false,0.2857142857142857
18,NaiveBayes,true,SMOTE,false,0.17857142857142858
8,RandomForest,false,UnderSampl,false,0.23076923076923078
1,RandomForest,true,SMOTE,false,0.125
13,NaiveBayes,true,OverSampl,false,0.1702127659574468
16,NaiveBayes,false,OverSampl,false,0.1951219512195122
11,RandomForest,true,OverSampl,false,0.17073170731707318
26,IBk,true,OverSampl,false,0.09090909090909091
19,IBk,false,OverSampl,false,0.1724137931034483
24,IBk,false,NotSet,true,0.2786885245901639
7,IBk,false,UnderSampl,false,0.19230769230769232
19,NaiveBayes,false,NotSet,true,0.2413793103448276
5,RandomForest,false,SMOTE,false,0.2857142857142857
14,RandomForest,false,NotSet,true,0.3409090909090909
26,IBk,true,UnderSampl,false,0.09090909090909091
11,IBk,false,SMOTE,false,0.21951219512195122
15,NaiveBayes,true,SMOTE,false,0.27906976744186046
17,RandomForest,true,OverSampl,false,0.23255813953488372
17,NaiveBayes,false,OverSampl,false,0.20454545454545456
14,RandomForest,false,OverSampl,false,0.3409090909090909
4,IBk,true,UnderSampl,false,0.25
7,IBk,true,OverSampl,false,0.25925925925925924
25,RandomForest,false,UnderSampl,false,0.3050847457627119
15,RandomForest,false,UnderSampl,false,0.32558139534883723
22,RandomForest,false,NotSet,false,0.3333333333333333
10,RandomForest,false,NotSet,true,0.2727272727272727
2,NaiveBayes,true,SMOTE,false,0.09090909090909091
14,IBk,true,UnderSampl,false,0.17777777777777778
11,NaiveBayes,true,UnderSampl,false,0.34146341463414637
25,IBk,true,NotSet,false,0.22033898305084745
23,RandomForest,true,SMOTE,false,0.3090909090909091
4,NaiveBayes,true,UnderSampl,false,0.23809523809523808
2,IBk,false,UnderSampl,false,0.125
