TicketKey,CreationDate,ResolutionDate, OV,FV,AV
ZOOKEEPER-2330,2015-11-23,2016-05-08,25,27,1
ZOOKEEPER-2329,2015-11-21,2015-11-21,25,25,0
ZOOKEEPER-2325,2015-11-18,2018-10-26,25,35,1
ZOOKEEPER-2323,2015-11-18,2016-08-11,25,28,2
ZOOKEEPER-2319,2015-11-09,2018-06-18,25,34,1
ZOOKEEPER-2317,2015-11-09,2018-05-30,25,34,1
ZOOKEEPER-2316,2015-11-06,2017-04-27,25,31,1
ZOOKEEPER-2311,2015-11-02,2015-12-06,25,26,2
ZOOKEEPER-2310,2015-11-01,2021-02-11,25,43,1
ZOOKEEPER-2307,2015-10-29,2019-12-17,25,38,0
ZOOKEEPER-2304,2015-10-26,2015-12-06,25,26,0
ZOOKEEPER-2302,2015-10-25,2015-10-28,25,25,0
ZOOKEEPER-2301,2015-10-25,2015-12-07,25,26,0
ZOOKEEPER-2299,2015-10-22,2015-12-07,25,26,0
ZOOKEEPER-2297,2015-10-19,2016-06-23,25,27,1
ZOOKEEPER-2296,2015-10-18,2015-10-21,25,25,0
ZOOKEEPER-2295,2015-10-17,2015-12-09,25,26,2
ZOOKEEPER-2294,2015-10-14,2016-03-03,25,27,0
ZOOKEEPER-2284,2015-09-28,2019-02-22,25,35,1
ZOOKEEPER-2283,2015-09-28,2016-03-14,25,27,2
ZOOKEEPER-2282,2015-09-28,2019-09-27,25,37,2
ZOOKEEPER-2281,2015-09-23,2015-12-09,25,26,0
ZOOKEEPER-2279,2015-09-21,2015-09-25,25,25,2
ZOOKEEPER-2269,2015-09-09,2015-09-10,25,25,1
ZOOKEEPER-2268,2015-09-08,2015-10-03,25,25,1
ZOOKEEPER-2264,2015-08-31,2015-09-06,24,25,0
ZOOKEEPER-2261,2015-08-28,2018-09-10,24,35,1
ZOOKEEPER-2256,2015-08-20,2015-09-06,24,25,1
ZOOKEEPER-2253,2015-08-19,2015-09-26,24,25,1
ZOOKEEPER-2252,2015-08-19,2015-12-10,24,26,1
ZOOKEEPER-2247,2015-08-14,2016-08-13,24,28,1
ZOOKEEPER-2245,2015-08-11,2015-09-17,24,25,1
ZOOKEEPER-2244,2015-08-11,2015-09-29,24,25,1
ZOOKEEPER-2243,2015-08-11,2016-02-08,24,26,0
ZOOKEEPER-2239,2015-08-04,2015-10-26,24,25,3
ZOOKEEPER-2235,2015-07-17,2016-05-03,24,27,2
ZOOKEEPER-2229,2015-07-02,2015-12-10,24,26,0
ZOOKEEPER-2227,2015-07-01,2015-11-08,24,25,1
ZOOKEEPER-2224,2015-06-30,2015-07-06,24,24,0
ZOOKEEPER-2221,2015-06-25,2015-06-30,24,24,1
ZOOKEEPER-2213,2015-06-10,2015-06-11,24,24,1
ZOOKEEPER-2212,2015-06-10,2015-06-15,24,24,1
ZOOKEEPER-2211,2015-06-09,2015-12-04,24,26,2
ZOOKEEPER-2210,2015-06-09,2015-06-22,24,24,0
ZOOKEEPER-2201,2015-06-02,2015-06-06,24,24,2
ZOOKEEPER-2198,2015-05-30,2015-05-31,24,24,0
ZOOKEEPER-2197,2015-05-30,2015-06-02,24,24,0
ZOOKEEPER-2195,2015-05-21,2016-03-20,24,27,2
ZOOKEEPER-2193,2015-05-20,2015-06-27,24,24,1
ZOOKEEPER-2190,2015-05-14,2015-05-14,24,24,0
ZOOKEEPER-2187,2015-05-09,2015-05-29,24,24,0
ZOOKEEPER-2186,2015-05-08,2015-05-24,24,24,2
ZOOKEEPER-2184,2015-05-07,2018-06-22,24,34,10
ZOOKEEPER-2182,2015-05-07,2015-05-12,24,24,1
ZOOKEEPER-2178,2015-05-02,2015-06-01,24,24,1
ZOOKEEPER-2174,2015-04-21,2015-05-03,24,24,0
ZOOKEEPER-2173,2015-04-21,2015-04-28,24,24,0
ZOOKEEPER-2172,2015-04-21,2016-09-08,24,29,1
ZOOKEEPER-2171,2015-04-21,2015-05-09,24,24,0
ZOOKEEPER-2164,2015-04-14,2020-03-12,24,39,1
ZOOKEEPER-2157,2015-04-03,2015-04-07,24,24,0
ZOOKEEPER-2156,2015-04-03,2015-05-20,24,24,0
ZOOKEEPER-2146,2015-03-20,2015-03-25,24,24,0
